id,Loan Theme ID ,Loan Theme Type	,Partner ID
638631	,a1050000000skGl,	General,	151
640322	,a1050000000skGl,	General	,151
641006	,a1050000002X1ij,	Higher Education	,160
641019	,a1050000002X1ij,	Higher Education	,160
641594	,a1050000002VbsW,	Subsistence Agriculture	,336
642256	,a1050000000T3oX,	Extreme Poverty,	217
642311	,a1050000000snTK,	General	,57
642353	,a1050000000T3oX,	Extreme Poverty,	217
642386	,a1050000000wf0f,	General	,133
642429	,a1050000000wezJ,	General	,48
642836	,a1050000000wf0f,	General	,133
643267	,a1050000000T3oX,	Extreme Poverty,	217
643288	,a1050000000wezk,	General	,77
643402	,a1050000000wezk,	General,77
